"भारतीय प्रबंध संस्थान इंदौर/ Indian Institute of Management, Indore",,,,,,,,,
शैक्षणिक वर्ष/Academic Year : 2025-26,,,,,,,,,
Tentative Time Table IPM 2024-29 Batch Term V,,,,,,,,,
Day and Date,Room No.,"9 AM to
 10:15 AM",10.30 am to 11.45 am,12.00 Noon to 1.15 pm,,"2.30 pm to
  3.45 pm","4.00 pm to
  5.15 pm","5.30 pm to
  6.45 pm",7:00 pm to 8:15 pm
"Thursday, 27 November, 2025",E-303,,WD 12 B,AETH 10 B,,,,,
,,,,,,,,,
"Friday, 28 November, 2025",E-301,CSI  16 A,LP 14 A,LSF-II 14,,Skill-Development Workshop : AI & Generative AI in Workplaces 3 A,MVS 17 A,,
"Friday, 28 November, 2025",E-303,LP 14 B,CSI  16 B,,,MVS 17 B,Skill-Development Workshop : AI & Generative AI in Workplaces 3 B,,
,,,,,,,,,
"Saturday, 29 November, 2025",E-301,,,,,,LP 15 A,,
"Saturday, 29 November, 2025",E-303,,,,,LP 15 B,,,
,,,,,,,,,
"Sunday, 30 November, 2025",E-301,SUNDAY,,,,,,,
"Sunday, 30 November, 2025",E-303,,,,,,,,
,,,,,,,,,
"Monday, 1 December, 2025",E-301,MVS 18 A,CSI  17 A,,,LAW 11 A,EcoM 14 A,,
"Monday, 1 December, 2025",E-303,CSI  17 B,MVS 18 B,,,EcoM 14 B,LAW 11 B,,
,,,,,,,,,
"Tuesday, 2 December, 2025",E-301,,AETH 11 A,LAW 12 A,,LAW 13 A,MVS 18 A,LSF-II 15,
"Tuesday, 2 December, 2025",E-303,,LAW 12 B,AETH 11 B,,MVS 18 B,LAW 13 B,,
,,,,,,,,,
"Wednesday, 3 December, 2025",E-301,WD 13 A,LAW 14 A,Quiz 2- EcoM,,LP 15 A,MVS 19 A,,
"Wednesday, 3 December, 2025",E-303,LAW 14 B,WD 13 B,,,MVS 19 B,LP 15 B,,
,,,,,,,,,
"Thursday, 4 December, 2025",E-301,LAW 15 A,AETH 12 A,Quiz 2- LAW,,EcoM 15 A,WD 14 A,,
"Thursday, 4 December, 2025",E-303,AETH 12 B,LAW 15 B,,,WD 14 B,EcoM 15 B,,
,,,,,,,,,
"Friday, 5 December, 2025",E-301,MVS 20 A,LP 16 A,LSF-II 16,,,CSI  17 A,,
"Friday, 5 December, 2025",E-303,LP 16 B,MVS 20 B,,,CSI  17 B,,,
,,,,,,,,,
"Saturday, 6 December, 2025",E-301,Quiz 2- LP,,LSF-II 17,,,EcoM 16 A,,
"Saturday, 6 December, 2025",E-303,,,,,EcoM 16 B,,,
,,,,,,,,,
"Sunday, 7 December, 2025",E-301,SUNDAY,,,,,,,
"Sunday, 7 December, 2025",E-303,,,,,,,,
,,,,,,,,,
"Monday, 8 December, 2025",E-301,Quiz 3- CSI,CSI  18 A,AETH 13 A,,WD 15 A,EcoM 17 A,,
"Monday, 8 December, 2025",E-303,,AETH 13 B,CSI  18 B,,EcoM 17 B,WD 15 B,,
,,,,,,,,,
"Tuesday, 9 December, 2025",E-301,,,LSF-II 18,,,LP 17 A,,
"Tuesday, 9 December, 2025",E-303,,,,,LP 17 B,,,
,,,,,,,,,
"Wednesday, 10 December, 2025",E-301,LP 18 A,CSI  19 A,LSF-II 19,,LSS-II 16 A,EcoM 18 A,,
"Wednesday, 10 December, 2025",E-303,CSI  19 B,LP 18 B,,,EcoM 18 B,LSS-II 16 B,,
,,,,,,,,,
"Thursday, 11 December, 2025",E-301,,AETH 14 A,LSS-II 17 A,,LSS-II 18 A,,,
"Thursday, 11 December, 2025",E-303,,LSS-II 17 B,AETH 14 B,,,LSS-II 18 B,,
,,,,,,,,,
"Friday, 12 December, 2025",E-301,LSS-II 19 A,EcoM 19 A,LSF-II 20,,CSI  20 A,LP 19 A,,
"Friday, 12 December, 2025",E-303,EcoM 19 B,LSS-II 19 B,,,LP 19 B,CSI  20 B,,
,,,,,,,,,
"Saturday, 13 December, 2025",E-301,LSS-II 20 A,LP 20 A,,,,,,
"Saturday, 13 December, 2025",E-303,LP 20 B,LSS-II 20 B,,,,,,
,,,,,,,,,
"Sunday, 14 December, 2025",E-301,SUNDAY,,,,,,,
"Sunday, 14 December, 2025",E-303,,,,,,,,
,,,,,,,,,
"Monday, 15 December, 2025",E-301,,,AETH 15 A,,EcoM 20 A,LAW 16 A,,
"Monday, 15 December, 2025",E-303,,AETH 15 B,,,LAW 16 B,EcoM 20 B,,
,,,,,,,,,
"Tuesday, 16 December, 2025",E-301,LAW 17 A,,,,,LAW 18 A,,
"Tuesday, 16 December, 2025",E-303,,LAW 17 B,,,LAW 18 B,,,
,,,,,,,,,
"Wednesday, 17 December, 2025",E-301,LAW 19 A,,,,LAW 20 A,,,
"Wednesday, 17 December, 2025",E-303,,LAW 19 A,,,,LAW 20 B,,
,,,,,,,,,
"Thursday, 18 December, 2025",E-301,,,,,,,,
"Thursday, 18 December, 2025",E-303,,,,,,,,
,,,,,,,,,
"Friday, 19 December, 2025",E-301,End Term,,,,,,,
"Friday, 19 December, 2025",E-303,,,,,,,,
,,,,,,,,,
"Saturday, 20 December, 2025",E-301,End Term,,,,,,,
"Saturday, 20 December, 2025",E-303,,,,,,,,
,,,,,,,,,
"Sunday, 21 December, 2025",E-301,SUNDAY,,,,,,,
"Sunday, 21 December, 2025",E-303,,,,,,,,
,,,,,,,,,
"Monday, 22 December, 2025",E-301,End Term,,,,,,,
"Monday, 22 December, 2025",E-303,,,,,,,,
,,,,,,,,,
"Tuesday, 23 December, 2025",E-301,End Term,,,,,,,
"Tuesday, 23 December, 2025",E-303,,,,,,,,
,,,,,,,,,
"Wednesday, 24 December, 2025",E-301,End Term,,,,,,,
"Wednesday, 24 December, 2025",E-303,,,,,,,,
,,,,,,,,,
"Thursday, 25 December, 2025",E-301,End Term,,,,,,,
"Thursday, 25 December, 2025",E-303,,,,,,,,
,,,,,,,,,
"Friday, 26 December, 2025",E-301,End Term,,,,,,,
"Friday, 26 December, 2025",E-303,,,,,,,,
,,,,,,,,,
"Saturday, 27 December, 2025",E-301,End Term,,,,,,,
"Saturday, 27 December, 2025",E-303,,,,,,,,
,,,,,,,,,
"Sunday, 28 December, 2025",E-301,SUNDAY,,,,,,,
"Sunday, 28 December, 2025",E-303,,,,,,,,
,,,,,,,,,
"Monday, 29 December, 2025",E-301,End Term,,,,,,,
"Monday, 29 December, 2025",E-303,,,,,,,,
,,,,,,,,,
"Tuesday, 30 December, 2025",E-301,End Term - LSF II & LSS II,,,,,,,
"Tuesday, 30 December, 2025",E-303,,,,,,,,
